Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Samtools: stats_mqc-generalstats-samtools_stats-error_rate	Samtools: stats_mqc-generalstats-samtools_stats-non_primary_alignments	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_properly_paired_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_MQ0_percent	Samtools: stats_mqc-generalstats-samtools_stats-raw_total_sequences	Samtools: flagstat_mqc-generalstats-samtools_flagstat-flagstat_total	Samtools: flagstat_mqc-generalstats-samtools_flagstat-mapped_passed	Samtools: flagstat_mqc-generalstats-samtools_flagstat-mapped_passed_pct
SRR1039508							93.3	20889049.0	76.78550530842713	18732608	0.00326344	4589947.0	44202080.0	100.0	99.99997285195629	0.6680319116204486	44202080.0	48792027	48792027	100.0
SRR1039508_1	50.2958558183271	50.0	63.0	63	9.090909090909092	22935521.0														
SRR1039508_2	47.93919565810487	50.0	63.0	63	9.090909090909092	22935521.0														
SRR1039509							93.04	19000123.0	78.13065568117975	17064847	0.003315229	3563907.0	40118921.0	100.0	99.9999675963369	0.4347998292376806	40118921.0	43682828	43682828	100.0
SRR1039509_1	49.59447294108932	49.0	63.0	63	0.0	21155707.0														
SRR1039509_2	46.41559312943577	49.0	63.0	63	9.090909090909092	21155707.0														
SRR1039512							94.44	25584575.0	78.9087027540976	22998579	0.002121898	4517444.0	53774172.0	100.0	100.0	0.44490503731047687	53774172.0	58291616	58291616	100.0
SRR1039512_1	56.51450272725296	49.0	63.0	63	9.090909090909092	28136282.0														
SRR1039512_2	55.747894652860545	49.0	63.0	63	9.090909090909092	28136282.0														
SRR1039513							94.66	15146191.0	80.187247141025	13720301	0.002062401	2483134.0	31737522.0	100.0	100.0	0.4065786862629036	31737522.0	34220656	34220656	100.0
SRR1039513_1	48.60897999352113	48.0	63.0	63	0.0	16823088.0														
SRR1039513_2	47.652357035426064	48.0	63.0	63	0.0	16823088.0														
SRR1039516							94.15	24463897.0	78.08178028945207	21928185	0.002855245	4628496.0	51538730.0	100.0	100.0	0.5091006316996946	51538730.0	56167226	56167226	100.0
SRR1039516_1	55.22749823169962	49.0	63.0	63	10.0	27298970.0														
SRR1039516_2	54.217392002616336	49.0	63.0	63	10.0	27298970.0														
SRR1039517							94.9	31026292.0	79.58525958820324	27901251	0.002892641	5143858.0	64972772.0	100.0	100.0	0.4491419882777974	64972772.0	70116630	70116630	100.0
SRR1039517_1	57.04515073211442	49.0	63.0	63	18.181818181818183	34298260.0														
SRR1039517_2	56.23833820877373	49.0	63.0	63	18.181818181818183	34298260.0														
SRR1039520							94.43	19135672.0	78.99854518285441	17166831	0.002146355	3279146.0	40181986.0	100.0	100.0	0.41605708587922957	40181986.0	43461132	43461132	100.0
SRR1039520_1	49.89066831402401	49.0	63.0	63	0.0	21275888.0														
SRR1039520_2	49.24582424902434	49.0	63.0	63	0.0	21275888.0														
SRR1039521							94.64	21089375.0	79.45767618384735	19087319	0.002093575	3853706.0	44190284.0	100.0	100.0	0.5782402303637605	44190284.0	48043990	48043990	100.0
SRR1039521_1	52.31077362666788	49.0	63.0	63	10.0	23487860.0														
SRR1039521_2	51.3283525441268	49.0	63.0	63	10.0	23487860.0														
