Module	Section	Sample Name	Source
FastQC	all_sections	SRR1039516_2	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039516_2_fastqc.zip
FastQC	all_sections	SRR1039513_1	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039513_1_fastqc.zip
FastQC	all_sections	SRR1039508_1	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039508_1_fastqc.zip
FastQC	all_sections	SRR1039512_2	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039512_2_fastqc.zip
FastQC	all_sections	SRR1039508_2	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039508_2_fastqc.zip
FastQC	all_sections	SRR1039509_2	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039509_2_fastqc.zip
FastQC	all_sections	SRR1039516_1	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039516_1_fastqc.zip
FastQC	all_sections	SRR1039517_1	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039517_1_fastqc.zip
FastQC	all_sections	SRR1039517_2	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039517_2_fastqc.zip
FastQC	all_sections	SRR1039512_1	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039512_1_fastqc.zip
FastQC	all_sections	SRR1039513_2	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039513_2_fastqc.zip
FastQC	all_sections	SRR1039509_1	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039509_1_fastqc.zip
FastQC	all_sections	SRR1039521_2	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039521_2_fastqc.zip
FastQC	all_sections	SRR1039520_2	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039520_2_fastqc.zip
FastQC	all_sections	SRR1039520_1	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039520_1_fastqc.zip
FastQC	all_sections	SRR1039521_1	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039521_1_fastqc.zip
STAR	SummaryLog	SRR1039516	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039516.Log.final.out
STAR	SummaryLog	SRR1039508	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039508.Log.final.out
STAR	SummaryLog	SRR1039509	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039509.Log.final.out
STAR	SummaryLog	SRR1039521	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039521.Log.final.out
STAR	SummaryLog	SRR1039512	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039512.Log.final.out
STAR	SummaryLog	SRR1039520	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039520.Log.final.out
STAR	SummaryLog	SRR1039513	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039513.Log.final.out
STAR	SummaryLog	SRR1039517	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039517.Log.final.out
featureCounts	all_sections	SRR1039517	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/gene_counts.txt.summary
featureCounts	all_sections	SRR1039513	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/gene_counts.txt.summary
featureCounts	all_sections	SRR1039508	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/gene_counts.txt.summary
featureCounts	all_sections	SRR1039520	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/gene_counts.txt.summary
featureCounts	all_sections	SRR1039516	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/gene_counts.txt.summary
featureCounts	all_sections	SRR1039521	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/gene_counts.txt.summary
featureCounts	all_sections	SRR1039512	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/gene_counts.txt.summary
featureCounts	all_sections	SRR1039509	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/gene_counts.txt.summary
Samtools	stats	SRR1039509	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039509.stats
Samtools	stats	SRR1039512	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039512.stats
Samtools	stats	SRR1039520	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039520.stats
Samtools	stats	SRR1039517	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039517.stats
Samtools	stats	SRR1039508	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039508.stats
Samtools	stats	SRR1039513	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039513.stats
Samtools	stats	SRR1039521	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039521.stats
Samtools	stats	SRR1039516	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039516.stats
Samtools	flagstat	SRR1039521	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039521.flagstat
Samtools	flagstat	SRR1039512	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039512.flagstat
Samtools	flagstat	SRR1039509	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039509.flagstat
Samtools	flagstat	SRR1039508	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039508.flagstat
Samtools	flagstat	SRR1039520	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039520.flagstat
Samtools	flagstat	SRR1039513	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039513.flagstat
Samtools	flagstat	SRR1039516	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039516.flagstat
Samtools	flagstat	SRR1039517	/mnt/d/rna-dexamethasone/work/82/a88424b71342ea2e7abde6573f9a23/SRR1039517.flagstat
